0,1,2,3,,,,,
3.109999895,3.109999895,3.109999895,3.109999895,,,,,
3.479074001,3.477554083,3.481385946,3.4820261,,,,,
3.417896032,3.423991919,3.410211086,3.410912991,,,,,
3.060966015,3.055811882,3.067409992,3.066782951,,,,,
2.449862003,2.444418907,2.455718994,2.462754965,,,,,
2.182708025,2.162158012,2.253926992,2.245253086,,,,,
1.705819011,1.677865028,1.804738998,1.780063033,,,,,
1.397353053,1.363598943,1.506299973,1.481452942,,,,,
1.214511991,1.183809042,1.319980025,1.286959052,,,,,
1.295122027,1.276065946,1.361232042,1.332023978,,,,,
1.745319009,1.758671045,1.725422978,1.728520036,,,,,
2.394876957,2.403673887,2.382518053,2.378551006,,,,,
2.996697903,2.999166012,2.987483025,2.996093035,,,,,
3.487061977,3.488490105,3.485712051,3.485476971,,,,,
3.724272013,3.724689007,3.723727942,3.723737955,0.224272013,0.224689007,0.223727942,0.223737955,0.896426916
3.547341108,3.547688961,3.546972036,3.546555042,0.047341108,0.047688961,0.046972036,0.046555042,0.188557148
3.088551044,3.086314917,3.090893984,3.090392113,0,,,,0
2.488202095,2.482815027,2.494303942,2.500436068,0,,,,0
2.213013887,2.197422981,2.268534899,2.260623932,0,,,,0
1.86590898,1.841423035,1.95104003,1.925722957,0,,,,0
1.659548998,1.632359982,1.746219993,1.721439004,0,,,,0
1.618160009,1.596194983,1.686396956,1.659507036,0,,,,0
1.850602031,1.856721044,1.853785992,1.845404029,0,,,,0
2.415599108,2.42723608,2.394536972,2.396712065,0,,,,0
2.913777113,2.916146994,2.906505108,2.912056923,0,,,,0
3.352411032,3.349226952,3.356946945,3.355359077,0,,,,0
3.548608065,3.551304102,3.545253992,3.545569897,0.048608065,0.051304102,0.045253992,0.045569897,0.190736055
3.530385017,3.529452085,3.531863928,3.531426907,0.030385017,0.029452085,0.031863928,0.031426907,0.123127937
2.969505072,2.971288919,2.971148014,2.967768908,0.350606203,,,,1.398848057
2.421667099,2.416310072,2.428864002,2.432137012,,,,,